"","X.1","site_code","year","block","plot","trt","Family","Taxon","num_leaves","leaf_pct_N","leaf_pct_C","leaf_N15_delta_air","leaf_C13_delta_PDB","leaf_N15_pct_atom","leaf_C13_pct_atom","leaf_area_mm2","leaf_dry_mass_g","SLA","leaf_ppm_P","leaf_ppm_B","leaf_ppm_Na","leaf_ppm_Ca","leaf_ppm_Fe","leaf_ppm_K","leaf_ppm_Mg","leaf_ppm_Mn","leaf_ppm_Cu","leaf_ppm_Zn","leaf_ppm_Sr","leaf_ppm_Pb","leaf_ppm_Mo","SLA_v2","Ntrt","Ptrt","Ktrt","Nfix","sum_INT_cover","sum_NAT_cover","sum_UNK_cover","total_cover","INT_rich","NAT_rich","UNK_rich","rich","site_year_rich","site_richness","site_native_richness","site_introduced_richness","plot_beta","dead_mass","live_mass","total_mass","unsorted_mass","proportion_par","Ambient_PAR","Ground_PAR","par_rat","site_name","continent","country","region","managed","burned","grazed","anthropogenic","habitat","elevation","latitude","longitude","experiment_type","N","P","K","Exclose","year_trt","first_nutrient_year","first_fenced_year","X","precip","PET","SPEI_12","SPEI_6","SPEI_24","SPEI_12.class","SPEI_6.class","SPEI_24.class","precip.mean","PET.mean","p_pet","tmp","par","vpd","z","provenance","lifespan","lifeform","functional_group","photosynthetic_pathway","n","Ntrt_fac","Ptrt_fac","Ktrt_fac","sla_m2_g","lma","narea","lai","par_per_leaf_area","delta","chi","max_cover","spp_lai","spp_live_mass","pct_C_mean","pct_N_mean","pct_P_mean","pct_K_mean","pct_Mg_mean","pct_Ca_mean","spp_mass_N"
"1",600,"bldr.us",2011,1,9,"NPK+Fence","Convolvulaceae","CONVOLVULUS ARVENSIS",5,4.9788856570205,45.2333516976344,7.45945343174128,-28.4005611560245,0.36901562455717,1.07453758141573,1183.453,0.07,591.7265,2590.765308,47.9107936,95.7673076,22592.97884,122.5090572,29209.66208,7581.0508,35.28174,11.49641928,54.912862,91.8048968,0.462824056,NA,5917.265,1,1,1,"no",12,52.1,0,64.1,3,2,0,5,18,40,7,15,8,51.5,248.5,300,NA,0.506134051,1671,845.75,0.506134051466188,"Boulder South Campus","North America","US","Central plains (North America)",1,0,0,0,"shortgrass prairie",1633,39.972022,-105.233544,"Experimental (Full Factorial)",1,1,1,1,0,2009,2009,451,442.600001,1162.3000295127,0.011525499492678,0.820821130338253,0.636043491733868,0,1,0,448.573170878049,1166.52684974057,0.380796687397111,10.5985678854875,906.773360415002,0.675387221216074,2135,"INT","PERENNIAL","HERB","FORB","C3",1,"1","1","1",0.005917265,168.996994388455,8.41416711440252,0.791806652249507,374.396725293633,20.9968844571354,0.734375418457317,2,0.0158361330449901,4.97,NA,NA,NA,NA,NA,NA,NA
"2",6001,"bldr.us",2011,2,11,"N","Convolvulaceae","CONVOLVULUS ARVENSIS",5,4.25920254367055,44.7845137798245,3.28024855538985,-28.6489660538427,0.36749047683633,1.07426580999123,2071.785,0.1,1035.8925,2385.920875,46.84511,59.698405,25321.439,144.2748775,35234.59875,8012.0365,43.97887,22.71719125,65.92352,102.3561175,0.221013975,0.136818175,10358.925,1,0,0,"no",21.1,36,0.1,57.2,6,3,1,10,18,40,7,15,4,34.5,161,195.5,NA,0.577690972,1728,998.25,0.577690972222222,"Boulder South Campus","North America","US","Central plains (North America)",1,0,0,0,"shortgrass prairie",1633,39.972022,-105.233544,"Experimental (Full Factorial)",1,0,0,0,0,2009,2009,451,442.600001,1162.3000295127,0.011525499492678,0.820821130338253,0.636043491733868,0,1,0,448.573170878049,1166.52684974057,0.380796687397111,10.5985678854875,906.773360415002,0.675387221216074,2135,"INT","PERENNIAL","HERB","FORB","C3",2,"1","0","0",0.010358925,96.5351134408252,4.11162600720688,0.638042097000779,388.181046817226,21.2579853546409,0.745928555515084,12,0.0765650516400935,19.32,NA,NA,NA,NA,NA,NA,NA
"3",6002,"bldr.us",2011,2,14,"P","Convolvulaceae","CONVOLVULUS ARVENSIS",5,4.51430120342817,46.2777887627576,12.423999407324,-28.34915479592,0.370827311856017,1.07459382319483,860.266,0.06,430.133,3021.9534,44.611992,104.35689,26980.074,132.493914,26563.572,6869.9691,19.876401,10.1765322,30.77487,132.609609,0.19992096,0.39128049,4301.33,0,1,0,"no",6.1,43.1,0.1,49.3,4,3,1,8,18,40,7,15,5,107.5,174,281.5,NA,0.810826211,1755,1423,0.810826210826211,"Boulder South Campus","North America","US","Central plains (North America)",1,0,0,0,"shortgrass prairie",1633,39.972022,-105.233544,"Experimental (Full Factorial)",0,1,0,0,0,2009,2009,451,442.600001,1162.3000295127,0.011525499492678,0.820821130338253,0.636043491733868,0,1,0,448.573170878049,1166.52684974057,0.380796687397111,10.5985678854875,906.773360415002,0.675387221216074,2135,"INT","PERENNIAL","HERB","FORB","C3",3,"0","1","0",0.00430133,232.486231002969,10.4951287239718,0.243838997453621,426.838141867851,20.9428673852962,0.73198528253523,3,0.00731516992360862,5.22,NA,NA,NA,NA,NA,NA,NA
"4",6003,"bldr.us",2011,2,15,"NPK+Fence","Convolvulaceae","CONVOLVULUS ARVENSIS",5,6.24291664025617,45.3775832352799,2.87480490625733,-28.2278878111996,0.367342512843202,1.07472649662139,3700.581,0.16,1850.2905,3893.4324,31.1716608,128.510496,9226.86,123.42816,49008.24,5412.0828,34.094004,16.9834728,39.962892,38.389788,0.20057076,0.24564624,18502.905,1,1,1,"no",33,22,0.1,55.1,4,3,1,8,18,40,7,15,5,204,317.5,521.5,NA,0.368507042,1775,654.1,0.368507042253521,"Boulder South Campus","North America","US","Central plains (North America)",1,0,0,0,"shortgrass prairie",1633,39.972022,-105.233544,"Experimental (Full Factorial)",1,1,1,1,0,2009,2009,451,442.600001,1162.3000295127,0.011525499492678,0.820821130338253,0.636043491733868,0,1,0,448.573170878049,1166.52684974057,0.380796687397111,10.5985678854875,906.773360415002,0.675387221216074,2135,"INT","PERENNIAL","HERB","FORB","C3",4,"1","1","1",0.018502905,54.0455674392751,3.37401972298737,1.1608086708632,343.965105595723,20.8154644051667,0.726347982529498,23,0.266985994298535,73.025,NA,NA,NA,NA,NA,NA,NA
"5",607,"bldr.us",2011,1,1,"P","Poaceae","BUCHLOE DACTYLOIDES",5,1.77725371384509,44.7013938818881,-0.660800931713463,-15.46269914553,0.366052198119993,1.0886903961263,221.921,0.04,110.9605,4854.5286,31.02025895,122.6371935,4400.81345,198.02543,10991.9759,1839.89316,51.450851,4.63772875,30.083773,28.77179865,0.85244807,0.615309265,1109.605,0,1,0,"no",4.3,35.1,1.1,44.5,5,3,2,12,18,40,7,15,3.3333,19.5,58,77.5,NA,0.851156973,1599,1361,0.851156973108193,"Boulder South Campus","North America","US","Central plains (North America)",1,0,0,0,"shortgrass prairie",1633,39.972022,-105.233544,"Experimental (Full Factorial)",0,1,0,0,0,2009,2009,451,442.600001,1162.3000295127,0.011525499492678,0.820821130338253,0.636043491733868,0,1,0,448.573170878049,1166.52684974057,0.380796687397111,10.5985678854875,906.773360415002,0.675387221216074,2135,"NAT","PERENNIAL","GRASS","GRASS","C4",5,"0","1","0",0.001109605,901.221605886779,16.0169944605971,0.187393849049405,432.794347633135,7.57990493509306,1,26,0.0487224007528453,15.08,NA,NA,NA,NA,NA,NA,NA
"6",6071,"bldr.us",2011,1,2,"Fence","Poaceae","BUCHLOE DACTYLOIDES",5,1.69767283233826,45.11463376284,-0.405197841204083,-15.6900698023566,0.366145481254076,1.08844170878612,254.404,0.04,127.202,3890.26645,29.7804115,430.3971,5679.9785,218.582175,8206.4185,2087.47105,43.03971,5.3190585,86.80126,44.84431,0.8021447,0.264599475,1272.02,0,0,0,"no",2.2,38,9,49.2,4,2,1,7,18,40,7,15,5.7143,38.5,99,137.5,NA,0.706596142,1607,1135.5,0.706596141879278,"Boulder South Campus","North America","US","Central plains (North America)",1,0,0,0,"shortgrass prairie",1633,39.972022,-105.233544,"Experimental (Full Factorial)",0,0,0,1,0,2009,2009,451,442.600001,1162.3000295127,0.011525499492678,0.820821130338253,0.636043491733868,0,1,0,448.573170878049,1166.52684974057,0.380796687397111,10.5985678854875,906.773360415002,0.675387221216074,2135,"NAT","PERENNIAL","GRASS","GRASS","C4",6,"0","0","0",0.00127202,786.151161145265,13.3462746838749,0.403832563013837,410.544940443247,7.81265083936772,1,3,0.0121149768904151,2.97,NA,NA,NA,NA,NA,NA,NA
"7",6072,"bldr.us",2011,1,3,"N","Poaceae","BUCHLOE DACTYLOIDES",5,2.64789529063676,47.8619324422816,1.59690565807238,-15.564205910199,0.366876149041835,1.08857937295148,332.279,0.08,166.1395,1835.02908,20.16330336,286.7316696,3576.24864,188.384832,15706.39392,1467.066024,90.9760896,8.90616096,74.4541272,28.430028,0.335608344,NA,1661.395,1,0,0,"no",1.3,41.1,1,43.4,4,3,1,8,18,40,7,15,5,60.5,125,185.5,NA,0.534273452,1631,871.4,0.534273451870018,"Boulder South Campus","North America","US","Central plains (North America)",1,0,0,0,"shortgrass prairie",1633,39.972022,-105.233544,"Experimental (Full Factorial)",1,0,0,0,0,2009,2009,451,442.600001,1162.3000295127,0.011525499492678,0.820821130338253,0.636043491733868,0,1,0,448.573170878049,1166.52684974057,0.380796687397111,10.5985678854875,906.773360415002,0.675387221216074,2135,"NAT","PERENNIAL","GRASS","GRASS","C4",7,"1","0","0",0.001661395,601.903821788316,15.9377829512955,0.728892428997293,379.954059872355,7.68379812641086,1,1,0.00728892428997293,1.25,NA,NA,NA,NA,NA,NA,NA
"8",6073,"bldr.us",2011,1,5,"PK","Poaceae","BUCHLOE DACTYLOIDES",5,2.3782948233173,45.0393748962518,1.35659619496847,-15.9710030020374,0.366788448655349,1.08813443552639,257.719,0.05,128.8595,4302.12528,58.2084036,224.1320796,6328.88028,141.242304,12965.82732,1896.682368,24.1048728,5.60465316,43.417596,43.7418768,0.290771784,NA,1288.595,0,1,1,"no",2.1,48,1,51.1,3,2,1,6,18,40,7,15,6.6667,29.5,58.5,88,NA,0.749850924,1677,1257.5,0.749850924269529,"Boulder South Campus","North America","US","Central plains (North America)",1,0,0,0,"shortgrass prairie",1633,39.972022,-105.233544,"Experimental (Full Factorial)",0,1,1,0,0,2009,2009,451,442.600001,1162.3000295127,0.011525499492678,0.820821130338253,0.636043491733868,0,1,0,448.573170878049,1166.52684974057,0.380796687397111,10.5985678854875,906.773360415002,0.675387221216074,2135,"NAT","PERENNIAL","GRASS","GRASS","C4",8,"0","1","1",0.001288595,776.039019241887,18.4564958215522,0.334745185871296,417.475568466913,8.10037410112408,1,3,0.0100423555761389,1.755,NA,NA,NA,NA,NA,NA,NA
"9",6074,"bldr.us",2011,1,6,"K","Poaceae","BUCHLOE DACTYLOIDES",5,1.77934716785223,45.3643089906877,0.406124611657411,-15.1984809905766,0.366441574721611,1.08897938395752,236.404,0.04,118.202,1917.445552,36.1460352,485.031888,2839.7864,359.827248,9849.43168,1494.29016,43.2591104,7.57034432,40.8638912,28.4704464,0.72673128,NA,1182.02,0,0,1,"no",0.5,26,0.1,27.6,5,3,1,10,18,40,7,15,4,27.5,59,86.5,NA,0.900287356,1740,1566.5,0.900287356321839,"Boulder South Campus","North America","US","Central plains (North America)",1,0,0,0,"shortgrass prairie",1633,39.972022,-105.233544,"Experimental (Full Factorial)",0,0,1,0,0,2009,2009,451,442.600001,1162.3000295127,0.011525499492678,0.820821130338253,0.636043491733868,0,1,0,448.573170878049,1166.52684974057,0.380796687397111,10.5985678854875,906.773360415002,0.675387221216074,2135,"NAT","PERENNIAL","GRASS","GRASS","C4",9,"0","0","1",0.00118202,846.009373783862,15.0534438321875,0.122141025367824,439.819976648197,7.30957543385727,1,18,0.0219853845662082,10.62,NA,NA,NA,NA,NA,NA,NA
"10",6075,"bldr.us",2011,1,7,"NPK","Poaceae","BUCHLOE DACTYLOIDES",5,2.12590342634938,43.6794676572221,0.581878117700705,-15.0526647806137,0.366505716021657,1.08913886928592,320.732,0.06,160.366,3543.24048,40.62147,119.2087268,2732.55824,81.5749004,14190.43352,1295.51914,39.398458,6.50118236,65.8155172,19.6904932,0.34593768,NA,1603.66,1,1,1,"no",12,54,4,70.1,2,2,1,6,18,40,7,15,6.6667,63,147.5,210.5,NA,0.540592334,1722,930.9,0.540592334494774,"Boulder South Campus","North America","US","Central plains (North America)",1,0,0,0,"shortgrass prairie",1633,39.972022,-105.233544,"Experimental (Full Factorial)",1,1,1,0,0,2009,2009,451,442.600001,1162.3000295127,0.011525499492678,0.820821130338253,0.636043491733868,0,1,0,448.573170878049,1166.52684974057,0.380796687397111,10.5985678854875,906.773360415002,0.675387221216074,2135,"NAT","PERENNIAL","GRASS","GRASS","C4",10,"1","1","1",0.00160366,623.573575446167,13.2565720062194,0.715220726587479,381.176704925602,7.16044861326804,1,19,0.135891938051621,28.025,NA,NA,NA,NA,NA,NA,NA
